BS_id,LS_id,LY_id,SP_id,BS_original_sample_id,BS_sample_date,BS_sample_type,BS_sample_number,BS_leaf_protocol,BS_note,BS_row_count
BS_210622_W_5,LS_LY_R_2022_SP_002,LY_R_2022,SP_002,R-210622-w-2-5 | R-210622-w-8-5 | R-210622-w-9-5 | R-210622-w-7-5 | R-210622-w-4-5 | R-210622-w-6-5 | R-210622-w-5-5 | R-210622-w-10-5 | R-210622-w-3-5 | R-210622-w-1-5 | R-210622-w-13-5 | R-210622-w-12-5 | ... (24 values),210622,,,WASHED,DNA_input_below_100pg,48
BS_210622_W_6,LS_LY_R_2022_SP_002,LY_R_2022,SP_002,R-210622-w-2-6 | R-210622-w-8-6 | R-210622-w-10-6 | R-210622-w-9-6 | R-210622-w-5-6 | R-210622-w-4-6 | R-210622-w-3-6 | R-210622-w-1-6 | R-210622-w-13-6 | R-210622-w-12-6 | R-210622-w-11-6 | R-210622-w-6-6 | ... (24 values),210622,,,WASHED,DNA_input_below_100pg,48
BS_210622_W_7,LS_LY_R_2022_SP_002,LY_R_2022,SP_002,R-210622-w-2-7 | R-210622-w-10-7 | R-210622-w-9-7 | R-210622-w-5-7 | R-210622-w-3-7 | R-210622-w-4-7 | R-210622-w-1-7 | R-210622-w-13-7 | R-210622-w-12-7 | R-210622-w-11-7 | R-210622-w-6-7 | R-210622-w-7-7 | ... (24 values),210622,,,WASHED,DNA_input_below_100pg,48
BS_220607_W_1,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R_070622_s_1A | R-070622-s-2A | R-070622-s-3A | R-070622-s-4A | R-070622-s-5A | R-070622-s-6A | R-070622-s-7A | R-070622-s-8A | R-070622-s-9A | R-070622-s-10A | R-070622-s-11A | R-070622-s-12A | ... (24 values),2022-06-07 00:00:00,timeline,,WASHED,speedvac_DNA | speedvac_DNA_still_no_DNA | seq_twice_combine_reads_speedvac_DNA | seq_twice_combine_reads,26
BS_220610_W_1,LS_LY_R_2022_SP_015,LY_R_2022,SP_015,R-100622-s-15B | R-100622-s-23B | R-100622-s-7B | R-100622-s-8B | R-100622-s-9B | R-100622-s-10B | R-100622-s-11B | R-100622-s-12B | R-100622-s-13B | R-100622-s-14B | R-100622-s-16B | R-100622-s-17B | ... (24 values),2022-06-10 00:00:00,timeline,,WASHED,speedvac_DNA_still_no_DNA | speedvac_DNA,24
BS_220614_W_1,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-140622-s-1C | R-140622-s-2C | R-140622-s-3C | R-140622-s-4C | R-140622-s-5C | R-140622-s-6C | R-140622-s-7C | R-140622-s-8C | R-140622-s-10C | R-140622-s-9C | R-140622-s-11C | R-140622-s-12C | ... (24 values),2022-06-14 00:00:00,timeline,,WASHED,seq_twice_combine_reads_speedvac_DNA | speedvac_DNA_still_no_DNA | speedvac_DNA,26
BS_220616_C_0,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-160622-c-1 | R-160622-c-3 | R-160622-c-4 | R-160622-c-5 | R-160622-c-6 | R-160622-c-7 | R-160622-c-8 | R-160622-c-9 | R-160622-c-10 | R-160622-c-11 | R-160622-c-12 | R-160622-c-2,2022-06-16 00:00:00,timeline,1.0 | 3.0 | 4.0 | 5.0 | 6.0 | 7.0 | 8.0 | 9.0 | 10.0 | 11.0 | 12.0 | 2.0,CRUSHED,Alex_may__have_thawed_before_freezedrying,24
BS_220617_W_1,LS_LY_R_2022_SP_015,LY_R_2022,SP_015,R-170622-s-15D | R-170622-s-16D | R-170622-s-17D | R-170622-s-18D | R-170622-s-19D | R-170622-s-20D | R-170622-s-21D | R-170622-s-22D | R-170622-s-23D | R-170622-s-24D | R-170622-s-14D | R-170622-s-13D | ... (24 values),2022-06-17 00:00:00,timeline,,WASHED,speedvac_DNA | speedvac_DNA_still_no_DNA,24
BS_220620_C_1,LS_LY_H_2022_SP_009,LY_H_2022,SP_009,H-200622-c-18-1 | H-200622-c-19-1 | H-200622-c-20-1 | H-200622-c-15-1 | H-200622-c-16-1 | H-200622-c-14-1 | H-200622-c-21-1 | H-200622-c-22-1 | H-200622-c-23-1 | H-200622-c-24-1 | H-200622-c-13-1,2022-06-20 00:00:00,deep,18.0 | 19.0 | 20.0 | 15.0 | 16.0 | 14.0 | 21.0 | 22.0 | 23.0 | 24.0 | 13.0,CRUSHED,Alex_May_have_thawed_before_freezedrying,22
BS_220620_C_2,LS_LY_H_2022_SP_009,LY_H_2022,SP_009,H-200622-c-18-2 | H-200622-c-20-2 | H-200622-c-19-2 | H-200622-c-14-2 | H-200622-c-15-2 | H-200622-c-16-2 | H-200622-c-17-2 | H-200622-c-24-2 | H-200622-c-21-2 | H-200622-c-22-2 | H-200622-c-23-2 | H-200622-c-13-2,2022-06-20 00:00:00,deep,18.0 | 20.0 | 19.0 | 14.0 | 15.0 | 16.0 | 17.0 | 24.0 | 21.0 | 22.0 | 23.0 | 13.0,CRUSHED,Alex_May_have_thawed_before_freezedrying,24
BS_220620_C_3,LS_LY_H_2022_SP_009,LY_H_2022,SP_009,H-200622-c-18-3 | H-200622-c-19-3 | H-200622-c-20-3 | H-200622-c-17-3 | H-200622-c-14-3 | H-200622-c-15-3 | H-200622-c-16-3 | H-200622-c-24-3 | H-200622-c-21-3 | H-200622-c-22-3 | H-200622-c-13-3,2022-06-20 00:00:00,deep,18.0 | 19.0 | 20.0 | 17.0 | 14.0 | 15.0 | 16.0 | 24.0 | 21.0 | 22.0 | 13.0,CRUSHED,Alex_May_have_thawed_before_freezedrying,22
BS_220620_C_4,LS_LY_H_2022_SP_009,LY_H_2022,SP_009,H-200622-c-18-4 | H-200622-c-19-4 | H-200622-c-17-4 | H-200622-c-14-4 | H-200622-c-15-4 | H-200622-c-16-4 | H-200622-c-20-4 | H-200622-c-24-4 | H-200622-c-21-4 | H-200622-c-22-4 | H-200622-c-23-4 | H-200622-c-13-4,2022-06-20 00:00:00,deep,18.0 | 19.0 | 17.0 | 14.0 | 15.0 | 16.0 | 20.0 | 24.0 | 21.0 | 22.0 | 23.0 | 13.0,CRUSHED,Alex_May_have_thawed_before_freezedrying | Alex_Lid_stuck:_bead_beater_x_2___May_have_thawed_before_freezedrying,24
BS_220620_C_5,LS_LY_H_2022_SP_009,LY_H_2022,SP_009,H-200622-c-18-5 | H-200622-c-19-5 | H-200622-c-17-5 | H-200622-c-14-5 | H-200622-c-16-5 | H-200622-c-20-5 | H-200622-c-24-5 | H-200622-c-21-5 | H-200622-c-22-5 | H-200622-c-23-5 | H-200622-c-13-5,2022-06-20 00:00:00,deep,18.0 | 19.0 | 17.0 | 14.0 | 16.0 | 20.0 | 24.0 | 21.0 | 22.0 | 23.0 | 13.0,CRUSHED,Alex_May_have_thawed_before_freezedrying,22
BS_220620_C_6,LS_LY_H_2022_SP_009,LY_H_2022,SP_009,H-200622-c-18-6 | H-200622-c-17-6 | H-200622-c-19-6 | H-200622-c-14-6 | H-200622-c-15-6 | H-200622-c-16-6 | H-200622-c-20-6 | H-200622-c-24-6 | H-200622-c-21-6 | H-200622-c-22-6 | H-200622-c-23-6 | H-200622-c-13-6,2022-06-20 00:00:00,deep,18.0 | 17.0 | 19.0 | 14.0 | 15.0 | 16.0 | 20.0 | 24.0 | 21.0 | 22.0 | 23.0 | 13.0,CRUSHED,Alex_May_have_thawed_before_freezedrying,24
BS_220620_C_7,LS_LY_H_2022_SP_008,LY_H_2022,SP_008,H-200622-c-17-7 | H-200622-c-19-7 | H-200622-c-15-7 | H-200622-c-16-7 | H-200622-c-20-7 | H-200622-c-24-7 | H-200622-c-23-7 | H-200622-c-21-7 | H-200622-c-22-7 | H-200622-c-13-7 | H-200622-c-18-7,2022-06-20 00:00:00,deep,17.0 | 19.0 | 15.0 | 16.0 | 20.0 | 24.0 | 23.0 | 21.0 | 22.0 | 13.0 | 18.0,CRUSHED,Alex_May_have_thawed_before_freezedrying | Alex_Maybe_usable_Bead_beater:_plastic_containers_Some_threads_in_the_material___May_have_thawed_before_freezedrying,22
BS_220621_C_0,LS_LY_R_2022_SP_003,LY_R_2022,SP_003,R-210622-c-27 | R-210622-c-29 | R-210622-c-28 | R-210622-c-31 | R-210622-c-32 | R-210622-c-33 | R-210622-c-45 | R-210622-c-46 | R-210622-c-47 | R-210622-c-40 | R-210622-c-41 | R-210622-c-42,2022-06-21 00:00:00,deep,27.0 | 29.0 | 28.0 | 31.0 | 32.0 | 33.0 | 45.0 | 46.0 | 47.0 | 40.0 | 41.0 | 42.0,CRUSHED,Alex_May_have_thawed_before_freezedrying,24
BS_220621_C_1,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-210622-c-25-1 | R-210622-c-26-1 | R-210622-c-36-1 | R-210622-c-37-1 | R-210622-c-38-1 | R-210622-c-30-1 | R-210622-c-34-1 | R-210622-c-35-1 | R-210622-c-48-1 | R-210622-c-39-1 | R-210622-c-43-1 | R-210622-c-44-1,2022-06-21 00:00:00,deep,25.0 | 26.0 | 36.0 | 37.0 | 38.0 | 30.0 | 34.0 | 35.0 | 48.0 | 39.0 | 43.0 | 44.0,CRUSHED,,24
BS_220621_C_2,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-210622-c-25-2 | R-210622-c-26-2 | R-210622-c-36-2 | R-210622-c-38-2 | R-210622-c-37-2 | R-210622-c-30-2 | R-210622-c-34-2 | R-210622-c-35-2 | R-210622-c-48-2 | R-210622-c-39-2 | R-210622-c-43-2 | R-210622-c-44-2,2022-06-21 00:00:00,deep,25.0 | 26.0 | 36.0 | 38.0 | 37.0 | 30.0 | 34.0 | 35.0 | 48.0 | 39.0 | 43.0 | 44.0,CRUSHED,,24
