RC_id,SR_id,RC_path,RC_filename,RC_read_direction,RC_reads
RC_seq230707_DWDQH_A_230622_16S_c_50_2_S98_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-50-2_S98_L001_R1_001.fastq.gz,A-230622-16S-c-50-2_S98_L001_R1_001.fastq.gz,R1,38903
RC_seq230707_DWDQH_R_280622_16S_c_79_S19_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-280622-16S-c-79_S19_L001_R2_001.fastq.gz,R-280622-16S-c-79_S19_L001_R2_001.fastq.gz,R2,29474
RC_seq230707_DWDQH_R_160622_16S_c_9_S9_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-160622-16S-c-9_S9_L001_R2_001.fastq.gz,R-160622-16S-c-9_S9_L001_R2_001.fastq.gz,R2,22241
RC_seq230707_DWDQH_R_210622_16S_c_31_S18_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-31_S18_L001_R1_001.fastq.gz,R-210622-16S-c-31_S18_L001_R1_001.fastq.gz,R1,32172
RC_seq230707_DWDQH_R_210622_16S_c_38_4_S52_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-38-4_S52_L001_R2_001.fastq.gz,R-210622-16S-c-38-4_S52_L001_R2_001.fastq.gz,R2,30518
RC_seq230707_DWDQH_H_200622_16S_c_24_1_S163_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-24-1_S163_L001_R1_001.fastq.gz,H-200622-16S-c-24-1_S163_L001_R1_001.fastq.gz,R1,32118
RC_seq230707_DWDQH_A_230622_16S_c_55_S114_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-55_S114_L001_R2_001.fastq.gz,A-230622-16S-c-55_S114_L001_R2_001.fastq.gz,R2,29692
RC_seq230707_DWDQH_A_230622_16S_c_50_7_S103_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-50-7_S103_L001_R2_001.fastq.gz,A-230622-16S-c-50-7_S103_L001_R2_001.fastq.gz,R2,44895
RC_seq230707_DWDQH_H_200622_16S_c_18_3_S124_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-18-3_S124_L001_R2_001.fastq.gz,H-200622-16S-c-18-3_S124_L001_R2_001.fastq.gz,R2,24922
RC_seq230707_DWDQH_A_230622_16S_c_70_3_S166_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-70-3_S166_L001_R2_001.fastq.gz,A-230622-16S-c-70-3_S166_L001_R2_001.fastq.gz,R2,42513
RC_seq230707_DWDQH_A_230622_16S_c_60_1_S131_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-60-1_S131_L001_R1_001.fastq.gz,A-230622-16S-c-60-1_S131_L001_R1_001.fastq.gz,R1,38651
