bio_sample_ID,suggested_correct_seq_sample_ID,corrected_forward_fq,amplicon.x,sample_type,TYPE,YEAR,sample_date,density,cultivar,fertiliser,spray_fungicide,block,subplot,ID_on_field,run_ID,S5_index_ID,lib_plate_number,crushed_or_washed_date,lyophilised_date,PCR1_date,PCR2_date,days_between_DNA_x,DNA_ext_date,plate_position,lib_DNA_conc,DNA_conc_plate,DNA_conc_individual,sample_weight,sample,raw_reads,amplicon.y,seq_run,filtered_reads,ASV_reads,location,ddmmyy,amplicon,type,aphid,plot,seq_control_run,lib_control_type,replicate,date,lost_filtering,lost_denoising,lost_total,lost_filtering_pct,lost_denoising_pct,lost_total_pct,pass_filter,purpose,sample_day_of_the_year,library,fertiliser_wrong,ID_on_field.1,lib_date,Days_between_DNA_x,speedvac_DNA_conc_individual,sample_weight_g
21,T-150621-c-72,T-150621-ITS-c-72,T-150621-ITS-c-72_S126_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Kvium,Normal,no,2,6,,seq230710_GW4I8,S508,1,,,2023-04-20,2023-04-20,,,9H,6.65725589389951,30.7073954983923,,15,T-150621-ITS-c-72_S126,13716,ITS,seq230710_GW4I8,13716,6932,T,150621,ITS,c,,72,,,,2021-06-15,0,6784,6784,0,49.4604841061534,49.4604841061534,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
22,T-150621-c-71,T-150621-ITS-c-71,T-150621-ITS-c-71_S125_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Sheriff,Normal,no,2,6,,seq230710_GW4I8,S514,1,,,2023-04-20,2023-04-20,,,9G,3.00412870784298,17.6744590249413,,15,T-150621-ITS-c-71_S125,12684,ITS,seq230710_GW4I8,12684,5325,T,150621,ITS,c,,71,,,,2021-06-15,0,7359,7359,0,58.0179754020814,58.0179754020814,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
23,T-150621-c-70,T-150621-ITS-c-70,T-150621-ITS-c-70_S124_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Heerup,Normal,no,2,6,,seq230710_GW4I8,S506,3,,,2023-05-04,2002-05-31,,,10G,0.469579497891085,18.4991744155731,,15,T-150621-ITS-c-70_S124,10268,ITS,seq230710_GW4I8,10268,7886,T,150621,ITS,c,,70,,,,2021-06-15,0,2382,2382,0,23.1982859368913,23.1982859368913,yes,sample,165,seq230710_GW4I8_3,Half,,,,,
24,T-150621-c-69,T-150621-ITS-c-69,T-150621-ITS-c-69_S123_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Rembrandt,Normal,no,2,6,,seq230710_GW4I8,S505,1,,,2023-04-20,2023-04-20,,,9E,0.665591235083313,23.1824107065265,,15,T-150621-ITS-c-69_S123,12905,ITS,seq230710_GW4I8,12905,9138,T,150621,ITS,c,,69,,,,2021-06-15,0,3767,3767,0,29.1902363425029,29.1902363425029,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
25,T-150621-c-68,T-150621-ITS-c-68,T-150621-ITS-c-68_S122_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Rembrandt,Normal,no,2,6,,seq230710_GW4I8,S504,1,,,2023-04-20,2023-04-20,,,9D,0.55685381624451,29.6393499608934,,15,T-150621-ITS-c-68_S122,8774,ITS,seq230710_GW4I8,8774,5922,T,150621,ITS,c,,68,,,,2021-06-15,0,2852,2852,0,32.5051287896056,32.5051287896056,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
26,T-150621-c-67,T-150621-ITS-c-67,T-150621-ITS-c-67_S121_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Kvium,Normal,no,2,6,,seq230710_GW4I8,S503,3,,,2023-05-04,2002-05-31,,,10F,0.187760143526227,4.18875467106978,,15,T-150621-ITS-c-67_S121,19679,ITS,seq230710_GW4I8,19679,15872,T,150621,ITS,c,,67,,,,2021-06-15,0,3807,3807,0,19.3454951979267,19.3454951979267,yes,sample,165,seq230710_GW4I8_3,Half,,,,,
27,T-150621-c-66,T-150621-ITS-c-66,T-150621-ITS-c-66_S120_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Rembrandt,Normal,no,2,6,,seq230710_GW4I8,S502,1,,,2023-04-20,2023-04-20,,,9B,1.71063262068823,30.3606500391066,,15,T-150621-ITS-c-66_S120,13460,ITS,seq230710_GW4I8,13460,10090,T,150621,ITS,c,,66,,,,2021-06-15,0,3370,3370,0,25.037147102526,25.037147102526,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
28,T-150621-c-65,T-150621-ITS-c-65,T-150621-ITS-c-65_S119_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Heerup,Normal,no,2,6,,seq230710_GW4I8,S501,1,,,2023-04-20,2023-04-20,,,9A,10.874032984878,46.603806378726,,15,T-150621-ITS-c-65_S119,7545,ITS,seq230710_GW4I8,7545,2064,T,150621,ITS,c,,65,,,,2021-06-15,0,5481,5481,0,72.6441351888668,72.6441351888668,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
29,T-150621-c-64,T-150621-ITS-c-64,T-150621-ITS-c-64_S118_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Heerup,Normal,no,2,6,,seq230710_GW4I8,S508,1,,,2023-04-20,2023-04-20,,,8H,3.57296244976269,55.87,,15,T-150621-ITS-c-64_S118,15397,ITS,seq230710_GW4I8,15397,10957,T,150621,ITS,c,,64,,,,2021-06-15,0,4440,4440,0,28.8367863869585,28.8367863869585,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
30,T-150621-c-63,T-150621-ITS-c-63,T-150621-ITS-c-63_S117_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Kvium,Normal,no,2,6,,seq230710_GW4I8,S513,1,,,2023-04-20,2023-04-20,,,8G,2.1882285922087,55.87,,15,T-150621-ITS-c-63_S117,13595,ITS,seq230710_GW4I8,13595,10042,T,150621,ITS,c,,63,,,,2021-06-15,0,3553,3553,0,26.1346083118794,26.1346083118794,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
