Path	Reads
./seq230707_DWDQH/R-210622-16S-c-36-7_S41_L001_R1_001.fastq.gz	40533
./seq230707_DWDQH/R-210622-16S-c-29_S10_L001_R1_001.fastq.gz	25952
./seq230707_DWDQH/R-280622-16S-c-81_S21_L001_R1_001.fastq.gz	17589
./seq230707_DWDQH/R-280622-16S-c-87_S27_L001_R2_001.fastq.gz	16232
./seq230707_DWDQH/H-200622-16S-c-20-1_S136_L001_R1_001.fastq.gz	17223
./seq230707_DWDQH/A-230622-16S-c-69_S163_L001_R2_001.fastq.gz	45584
./seq230707_DWDQH/R-140722-16S-c-143_S82_L001_R2_001.fastq.gz	25343
./seq230707_DWDQH/A-230622-16S-c-64_S158_L001_R1_001.fastq.gz	32159
./seq230707_DWDQH/R-210622-16S-c-38-6_S54_L001_R2_001.fastq.gz	43514
./seq230707_DWDQH/A-230622-16S-c-72-1_S178_L001_R1_001.fastq.gz	48913
./seq230707_DWDQH/A-230622-16S-c-62-6_S149_L001_R1_001.fastq.gz	36556
./seq230707_DWDQH/R-040722-16S-c-99_S39_L001_R1_001.fastq.gz	19175
./seq230707_DWDQH/H-200622-16S-c-16-3_S111_L001_R2_001.fastq.gz	26761
./seq230707_DWDQH/R-210622-16S-c-43-3_S68_L001_R2_001.fastq.gz	36542
./seq230707_DWDQH/H-200622-16S-c-21-7_S149_L001_R1_001.fastq.gz	26069
./seq230707_DWDQH/R-210622-16S-c-25-6_S175_L001_R1_001.fastq.gz	31505
./seq230707_DWDQH/H-200622-16S-c-13-5_S94_L001_R1_001.fastq.gz	27181
./seq230707_DWDQH/R-280622-16S-c-94_S34_L001_R2_001.fastq.gz	33217
./seq230707_DWDQH/R-210622-16S-c-26-1_S1_L001_R2_001.fastq.gz	15935
./seq230707_DWDQH/H-200622-16S-c-13-3_S92_L001_R2_001.fastq.gz	19909
./seq230707_DWDQH/R-280622-16S-c-92_S32_L001_R1_001.fastq.gz	47398
./seq230707_DWDQH/H-200622-16S-c-16-1_S109_L001_R1_001.fastq.gz	22006
./seq230707_DWDQH/A-230622-16S-c-61-5_S141_L001_R1_001.fastq.gz	54928
./seq230707_DWDQH/R-210622-16S-c-39-4_S59_L001_R2_001.fastq.gz	25552
./seq230707_DWDQH/R-040722-16S-c-101_S41_L001_R1_001.fastq.gz	23844
./seq230707_DWDQH/R-210622-16S-c-26-6_S6_L001_R2_001.fastq.gz	30418
./seq230707_DWDQH/R-210622-16S-c-48-4_S86_L001_R2_001.fastq.gz	35430
./seq230707_DWDQH/R-140722-16S-c-139_S79_L001_R1_001.fastq.gz	29314
./seq230707_DWDQH/R-210622-16S-c-25-2_S171_L001_R1_001.fastq.gz	25715
./seq230707_DWDQH/R-210622-16S-c-36-7_S41_L001_R2_001.fastq.gz	40533
./seq230707_DWDQH/R-210622-16S-c-37-6_S47_L001_R2_001.fastq.gz	32103
./seq230707_DWDQH/A-230622-16S-c-49-1_S90_L001_R2_001.fastq.gz	39249
./seq230707_DWDQH/R-210622-16S-c-26-2_S84_L001_R2_001.fastq.gz	23006
./seq230707_DWDQH/R-280622-16S-c-75_S15_L001_R1_001.fastq.gz	29713
./seq230707_DWDQH/R-040722-16S-c-107_S47_L001_R2_001.fastq.gz	30562
./seq230707_DWDQH/H-200622-16S-c-16-7_S115_L001_R2_001.fastq.gz	18511
./seq230707_DWDQH/H-200622-16S-c-21-2_S144_L001_R2_001.fastq.gz	35196
./seq230707_DWDQH/R-280622-16S-c-73_S13_L001_R2_001.fastq.gz	20903
./seq230707_DWDQH/R-040722-16S-c-114_S54_L001_R2_001.fastq.gz	20717
./seq230707_DWDQH/R-040722-16S-c-112_S52_L001_R1_001.fastq.gz	27367
./seq230707_DWDQH/H-200622-16S-c-20-1_S136_L001_R2_001.fastq.gz	17223
./seq230707_DWDQH/R-210622-16S-c-36-2_S36_L001_R2_001.fastq.gz	26478
./seq230707_DWDQH/H-200622-16S-c-16-3_S111_L001_R1_001.fastq.gz	26761
./seq230707_DWDQH/R-040722-16S-c-99_S39_L001_R2_001.fastq.gz	19175
./seq230707_DWDQH/H-200622-16S-c-21-7_S149_L001_R2_001.fastq.gz	26069
./seq230707_DWDQH/R-210622-16S-c-34-6_S26_L001_R1_001.fastq.gz	45333
./seq230707_DWDQH/R-280622-16S-c-94_S34_L001_R1_001.fastq.gz	33217
./seq230707_DWDQH/A-230622-16S-c-61-7_S143_L001_R2_001.fastq.gz	58193
./seq230707_DWDQH/R-280622-16S-c-81_S21_L001_R2_001.fastq.gz	17589
./seq230707_DWDQH/R-140722-16S-c-143_S82_L001_R1_001.fastq.gz	25343
./seq230707_DWDQH/R-210622-16S-c-29_S10_L001_R2_001.fastq.gz	25952
./seq230707_DWDQH/R-210622-16S-c-25-6_S175_L001_R2_001.fastq.gz	31505
./seq230707_DWDQH/R-280622-16S-c-87_S27_L001_R1_001.fastq.gz	16232
./seq230707_DWDQH/R-280622-16S-c-92_S32_L001_R2_001.fastq.gz	47398
./seq230707_DWDQH/A-230622-16S-c-64_S158_L001_R2_001.fastq.gz	32159
./seq230707_DWDQH/R-210622-16S-c-43-3_S68_L001_R1_001.fastq.gz	36542
./seq230707_DWDQH/A-230622-16S-c-62-6_S149_L001_R2_001.fastq.gz	36556
./seq230707_DWDQH/R-P2-16S-c-pos_S3_L001_R1_001.fastq.gz	2286
./seq230707_DWDQH/A-230622-16S-c-61-5_S141_L001_R2_001.fastq.gz	54928
./seq230707_DWDQH/R-210622-16S-c-39-6_S61_L001_R2_001.fastq.gz	27259
./seq230707_DWDQH/R-210622-16S-c-30-6_S16_L001_R1_001.fastq.gz	33749
./seq230707_DWDQH/H-200622-16S-c-16-4_S112_L001_R1_001.fastq.gz	16483
./seq230707_DWDQH/H-200622-16S-c-22-2_S151_L001_R1_001.fastq.gz	23433
./seq230707_DWDQH/A-230622-16S-c-69_S163_L001_R1_001.fastq.gz	45584
./seq230707_DWDQH/H-200622-16S-c-14-1_S97_L001_R1_001.fastq.gz	27852
./seq230707_DWDQH/R-210622-16S-c-35-3_S30_L001_R1_001.fastq.gz	35361
./seq230707_DWDQH/R-210622-16S-c-38-6_S54_L001_R1_001.fastq.gz	43514
./seq230707_DWDQH/R-210622-16S-c-35-4_S31_L001_R2_001.fastq.gz	38907
./seq230707_DWDQH/A-230622-16S-c-51-7_S110_L001_R1_001.fastq.gz	48979
./seq230707_DWDQH/A-230622-16S-c-72-1_S178_L001_R2_001.fastq.gz	48913
