Path	Reads
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L003_R1_001.fastq.gz	4098782
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L003_R2_001.fastq.gz	4098782
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L004_R1_001.fastq.gz	4262551
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L004_R2_001.fastq.gz	4262551
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L001_R1_001.fastq.gz	3435829
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L001_R2_001.fastq.gz	3435829
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L002_R1_001.fastq.gz	3705930
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L002_R2_001.fastq.gz	3705930
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L003_R1_001.fastq.gz	3925708
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L003_R2_001.fastq.gz	3925708
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L004_R1_001.fastq.gz	4063847
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L004_R2_001.fastq.gz	4063847
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L001_R1_001.fastq.gz	8197329
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L001_R2_001.fastq.gz	8197329
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L002_R1_001.fastq.gz	8491137
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L002_R2_001.fastq.gz	8491137
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L003_R1_001.fastq.gz	8732095
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L003_R2_001.fastq.gz	8732095
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L004_R1_001.fastq.gz	8854196
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L004_R2_001.fastq.gz	8854196
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L001_R1_001.fastq.gz	5450496
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L001_R2_001.fastq.gz	5450496
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L002_R1_001.fastq.gz	5706579
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L002_R2_001.fastq.gz	5706579
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L003_R1_001.fastq.gz	5906104
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L003_R2_001.fastq.gz	5906104
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L004_R1_001.fastq.gz	6043901
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L004_R2_001.fastq.gz	6043901
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L001_R1_001.fastq.gz	4504917
