LY,SP,LY_SP,SP_location,SP_sample_number,SP_block,SP_plot,SP_subplot,SP_spray_fungicide,SP_fertiliser,SP_cultivar,SP_density
LY_T_2023,SP_086,LY_T_2023__SP_086,T,86,3,86,2,FALSE,ZERO,Heerup,450
LY_T_2023,SP_087,LY_T_2023__SP_087,T,87,3,87,8,FALSE,ZERO,Kvium,300
LY_T_2023,SP_088,LY_T_2023__SP_088,T,88,3,88,8,FALSE,ZERO,Rembrandt,300
LY_T_2023,SP_089,LY_T_2023__SP_089,T,89,3,89,8,FALSE,ZERO,Sheriff,300
LY_T_2023,SP_090,LY_T_2023__SP_090,T,90,3,90,6,FALSE,ZERO,Kvium,450
LY_T_2023,SP_091,LY_T_2023__SP_091,T,91,3,91,8,FALSE,ZERO,Heerup,300
LY_T_2023,SP_092,LY_T_2023__SP_092,T,92,3,92,8,FALSE,ZERO,Rembrandt,450
LY_T_2023,SP_093,LY_T_2023__SP_093,T,93,3,93,9,FALSE,ZERO,Heerup,150
LY_T_2023,SP_094,LY_T_2023__SP_094,T,94,3,94,10,FALSE,ZERO,Kvium,150
LY_T_2023,SP_095,LY_T_2023__SP_095,T,95,3,95,11,FALSE,ZERO,Sheriff,150
LY_T_2023,SP_096,LY_T_2023__SP_096,T,96,3,96,12,FALSE,ZERO,Sheriff,450
LY_T_2023,SP_097,LY_T_2023__SP_097,T,97,3,97,1,FALSE,NORMAL,Heerup,150
LY_T_2023,SP_098,LY_T_2023__SP_098,T,98,3,98,9,FALSE,NORMAL,Rembrandt,300
LY_T_2023,SP_099,LY_T_2023__SP_099,T,99,3,99,3,FALSE,NORMAL,Kvium,150
LY_T_2023,SP_100,LY_T_2023__SP_100,T,100,3,100,9,FALSE,NORMAL,Heerup,300
LY_T_2023,SP_101,LY_T_2023__SP_101,T,101,3,101,5,FALSE,NORMAL,Rembrandt,450
LY_T_2023,SP_102,LY_T_2023__SP_102,T,102,3,102,6,FALSE,NORMAL,Heerup,450
LY_T_2023,SP_103,LY_T_2023__SP_103,T,103,3,103,7,FALSE,NORMAL,Rembrandt,150
LY_T_2023,SP_104,LY_T_2023__SP_104,T,104,3,104,9,FALSE,NORMAL,Kvium,300
LY_T_2023,SP_105,LY_T_2023__SP_105,T,105,3,105,9,FALSE,NORMAL,Sheriff,150
LY_T_2023,SP_106,LY_T_2023__SP_106,T,106,3,106,10,FALSE,NORMAL,Kvium,450
LY_T_2023,SP_107,LY_T_2023__SP_107,T,107,3,107,9,FALSE,NORMAL,Sheriff,300
LY_T_2023,SP_108,LY_T_2023__SP_108,T,108,3,108,12,FALSE,NORMAL,Sheriff,450
