FP_id,SA_id,SR_id,LP_id,FP_source,FP_rowname,FP_pair_number,FP_forward_fq,FP_reverse_fq,FP_forward_path,FP_reverse_path,FP_forward_reads,FP_reverse_reads,FP_include_control_crushed_amplicon,FP_control_crushed_amplicon_SA_id,FP_pair_reads,FP_total_reads,FP_has_read_count,FP_include_candidate,FP_exclude_reason
FP_SA_seq230710_GW4I8_T_2020_ITS_c_3_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_3__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_003_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-3_S3_L001_R1_001.fastq.gz,1,T-2020-ITS-c-3_S3_L001_R1_001.fastq.gz,T-2020-ITS-c-3_S3_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-3_S3_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-3_S3_L001_R2_001.fastq.gz,38776,38776,False,,38776,77552,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_2_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_2__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_002_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-2_S2_L001_R1_001.fastq.gz,1,T-2020-ITS-c-2_S2_L001_R1_001.fastq.gz,T-2020-ITS-c-2_S2_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-2_S2_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-2_S2_L001_R2_001.fastq.gz,24418,24418,False,,24418,48836,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_25_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_25__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_025_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-25_S25_L001_R1_001.fastq.gz,1,T-2020-ITS-c-25_S25_L001_R1_001.fastq.gz,T-2020-ITS-c-25_S25_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-25_S25_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-25_S25_L001_R2_001.fastq.gz,31171,31171,False,,31171,62342,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_26_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_26__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_026_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-26_S26_L001_R1_001.fastq.gz,1,T-2020-ITS-c-26_S26_L001_R1_001.fastq.gz,T-2020-ITS-c-26_S26_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-26_S26_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-26_S26_L001_R2_001.fastq.gz,26317,26317,False,,26317,52634,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_27_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_27__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_027_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-27_S27_L001_R1_001.fastq.gz,1,T-2020-ITS-c-27_S27_L001_R1_001.fastq.gz,T-2020-ITS-c-27_S27_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-27_S27_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-27_S27_L001_R2_001.fastq.gz,29985,29985,False,,29985,59970,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_28_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_28__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_028_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-28_S28_L001_R1_001.fastq.gz,1,T-2020-ITS-c-28_S28_L001_R1_001.fastq.gz,T-2020-ITS-c-28_S28_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-28_S28_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-28_S28_L001_R2_001.fastq.gz,34699,34699,False,,34699,69398,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_52_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_52__2020_washed_amplicon,seq230710_GW4I8,LP_LY_X_0000_SP_000_BS_ALXCTL_X_0_EX_000000_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-52_S52_L001_R1_001.fastq.gz,1,T-2020-ITS-c-52_S52_L001_R1_001.fastq.gz,T-2020-ITS-c-52_S52_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-52_S52_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-52_S52_L001_R2_001.fastq.gz,34535,34535,False,,34535,69070,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_51_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_51__2020_washed_amplicon,seq230710_GW4I8,LP_LY_X_0000_SP_000_BS_ALXCTL_X_0_EX_000000_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-51_S51_L001_R1_001.fastq.gz,1,T-2020-ITS-c-51_S51_L001_R1_001.fastq.gz,T-2020-ITS-c-51_S51_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-51_S51_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-51_S51_L001_R2_001.fastq.gz,36293,36293,False,,36293,72586,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_50_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_50__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_050_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-50_S50_L001_R1_001.fastq.gz,1,T-2020-ITS-c-50_S50_L001_R1_001.fastq.gz,T-2020-ITS-c-50_S50_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-50_S50_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-50_S50_L001_R2_001.fastq.gz,39244,39244,False,,39244,78488,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_49_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_49__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_049_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-49_S49_L001_R1_001.fastq.gz,1,T-2020-ITS-c-49_S49_L001_R1_001.fastq.gz,T-2020-ITS-c-49_S49_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-49_S49_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-49_S49_L001_R2_001.fastq.gz,37560,37560,False,,37560,75120,True,True,
