EX_id,BS_id,EX_date,EX_plate,EX_dna_conc,EX_row_count
EX_LY_A_2022_SP_007_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_007_BS_230622_W_1_EX_230726,BS_230622_W_1,2023-07-26,8.0,0.13,3
EX_LY_A_2022_SP_007_BS_230622_W_2_EX_230726,BS_230622_W_2,2023-07-26,8.0,0.145,3
EX_LY_A_2022_SP_007_BS_230622_W_3_EX_230726,BS_230622_W_3,2023-07-26,8.0,0.336,3
EX_LY_A_2022_SP_007_BS_230622_W_4_EX_230726,BS_230622_W_4,2023-07-26,8.0,0.06,3
EX_LY_A_2022_SP_007_BS_230622_W_5_EX_230726,BS_230622_W_5,2023-07-26,8.0,0.031,3
EX_LY_A_2022_SP_007_BS_230622_W_6_EX_230726,BS_230622_W_6,2023-07-26,8.0,0.019,3
EX_LY_A_2022_SP_007_BS_230622_W_7_EX_230726,BS_230622_W_7,2023-07-26,8.0,0.459,3
EX_LY_A_2022_SP_008_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_008_BS_230622_W_1_EX_230726,BS_230622_W_1,2023-07-26,8.0,0.105,3
EX_LY_A_2022_SP_008_BS_230622_W_2_EX_230728,BS_230622_W_2,2023-07-28,8.0,0.04,3
EX_LY_A_2022_SP_008_BS_230622_W_3_EX_230728,BS_230622_W_3,2023-07-28,8.0,0.17,3
EX_LY_A_2022_SP_008_BS_230622_W_4_EX_230728,BS_230622_W_4,2023-07-28,8.0,0.055,3
EX_LY_A_2022_SP_008_BS_230622_W_5_EX_230728,BS_230622_W_5,2023-07-28,8.0,0.158,3
EX_LY_A_2022_SP_008_BS_230622_W_6_EX_230728,BS_230622_W_6,2023-07-28,8.0,0.032,3
EX_LY_A_2022_SP_008_BS_230622_W_7_EX_230728,BS_230622_W_7,2023-07-28,8.0,0.229,3
EX_LY_A_2022_SP_009_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_009_BS_230622_W_1_EX_230728,BS_230622_W_1,2023-07-28,8.0,0.177,3
EX_LY_A_2022_SP_009_BS_230622_W_2_EX_230728,BS_230622_W_2,2023-07-28,8.0,0.069,3
EX_LY_A_2022_SP_009_BS_230622_W_3_EX_230728,BS_230622_W_3,2023-07-28,8.0,0.137,3
EX_LY_A_2022_SP_009_BS_230622_W_4_EX_230728,BS_230622_W_4,2023-07-28,8.0,0.142,3
EX_LY_A_2022_SP_009_BS_230622_W_5_EX_230728,BS_230622_W_5,2023-07-28,8.0,0.098,3
EX_LY_A_2022_SP_009_BS_230622_W_6_EX_230728,BS_230622_W_6,2023-07-28,8.0,0.286,3
EX_LY_A_2022_SP_009_BS_230622_W_7_EX_230728,BS_230622_W_7,2023-07-28,8.0,0.108,3
EX_LY_A_2022_SP_010_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_010_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_010_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_010_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_010_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_010_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_010_BS_220623_C_7_EX_221012,BS_220623_C_7,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_010_BS_230622_W_1_EX_230728,BS_230622_W_1,2023-07-28,8.0,0.422,3
EX_LY_A_2022_SP_010_BS_230622_W_2_EX_230728,BS_230622_W_2,2023-07-28,8.0,0.132,3
EX_LY_A_2022_SP_010_BS_230622_W_3_EX_230728,BS_230622_W_3,2023-07-28,8.0,0.073,3
EX_LY_A_2022_SP_010_BS_230622_W_4_EX_230728,BS_230622_W_4,2023-07-28,8.0,0.227,3
