SA_id,LP_id,SR_id,BS_id,EX_id,LS_id,LY_id,SP_id,SA_source,SA_seq_sample_ID,SA_is_rerun,SA_sequencing_run,SA_duplicate_number
SA_seq230710_GW4I8__T_2020_ITS_c_50__2020_washed_amplicon,LP_LY_T_2020_SP_050_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_050_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_050,LY_T_2020,SP_050,2020_washed_amplicon,T-2020-ITS-c-50,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_49__2020_washed_amplicon,LP_LY_T_2020_SP_049_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_049_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_049,LY_T_2020,SP_049,2020_washed_amplicon,T-2020-ITS-c-49,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_48__2020_washed_amplicon,LP_LY_T_2020_SP_048_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_048_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_048,LY_T_2020,SP_048,2020_washed_amplicon,T-2020-ITS-c-48,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_47__2020_washed_amplicon,LP_LY_T_2020_SP_047_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_047_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_047,LY_T_2020,SP_047,2020_washed_amplicon,T-2020-ITS-c-47,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_46__2020_washed_amplicon,LP_LY_T_2020_SP_046_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_046_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_046,LY_T_2020,SP_046,2020_washed_amplicon,T-2020-ITS-c-46,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_45__2020_washed_amplicon,LP_LY_T_2020_SP_045_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_045_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_045,LY_T_2020,SP_045,2020_washed_amplicon,T-2020-ITS-c-45,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_44__2020_washed_amplicon,LP_LY_T_2020_SP_044_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_044_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_044,LY_T_2020,SP_044,2020_washed_amplicon,T-2020-ITS-c-44,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_43__2020_washed_amplicon,LP_LY_T_2020_SP_043_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_043_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_043,LY_T_2020,SP_043,2020_washed_amplicon,T-2020-ITS-c-43,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_42__2020_washed_amplicon,LP_LY_T_2020_SP_042_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_042_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_042,LY_T_2020,SP_042,2020_washed_amplicon,T-2020-ITS-c-42,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_1__2020_washed_amplicon,LP_LY_T_2020_SP_001_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_001_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_001,LY_T_2020,SP_001,2020_washed_amplicon,T-2020-ITS-c-1,False,seq230710_GW4I8,1
