LS_id,LY_id,SP_id,LS_block,LS_plot,LS_subplot,LS_cultivar,LS_spray,LS_fertilizer,LS_density,LS_location,LS_row_count
LS_LY_S_2022_SP_016,LY_S_2022,SP_016,,16.0,,Kvium,True,,,S,21
LS_LY_S_2022_SP_017,LY_S_2022,SP_017,,17.0,,Rembrandt,True,,,S,21
LS_LY_S_2022_SP_018,LY_S_2022,SP_018,,18.0,,Heerup,True,,,S,20
LS_LY_S_2022_SP_019,LY_S_2022,SP_019,,19.0,,Rembrandt,True,,,S,21
LS_LY_S_2022_SP_020,LY_S_2022,SP_020,,20.0,,Kvium,True,,,S,21
LS_LY_S_2022_SP_021,LY_S_2022,SP_021,,21.0,,Heerup,True,,,S,21
LS_LY_S_2022_SP_022,LY_S_2022,SP_022,,22.0,,Heerup,False,,,S,21
LS_LY_S_2022_SP_023,LY_S_2022,SP_023,,23.0,,Rembrandt,False,,,S,21
LS_LY_S_2022_SP_024,LY_S_2022,SP_024,,24.0,,Kvium,False,,,S,21
LS_LY_T_2020_SP_001,LY_T_2020,SP_001,,,,Elixir,,,,,2
LS_LY_T_2020_SP_002,LY_T_2020,SP_002,,,,Elixir,,,,,2
LS_LY_T_2020_SP_003,LY_T_2020,SP_003,,,,Elixir,,,,,2
LS_LY_T_2020_SP_004,LY_T_2020,SP_004,,,,Elixir,,,,,2
LS_LY_T_2020_SP_005,LY_T_2020,SP_005,,,,Elixir,,,,,2
LS_LY_T_2020_SP_006,LY_T_2020,SP_006,,,,Elixir,,,,,2
LS_LY_T_2020_SP_007,LY_T_2020,SP_007,,,,Elixir,,,,,2
LS_LY_T_2020_SP_008,LY_T_2020,SP_008,,,,Elixir,,,,,2
LS_LY_T_2020_SP_009,LY_T_2020,SP_009,,,,Elixir,,,,,2
LS_LY_T_2020_SP_010,LY_T_2020,SP_010,,,,Elixir,,,,,2
LS_LY_T_2020_SP_011,LY_T_2020,SP_011,,,,Elixir,,,,,2
LS_LY_T_2020_SP_012,LY_T_2020,SP_012,,,,Elixir,,,,,2
LS_LY_T_2020_SP_013,LY_T_2020,SP_013,,,,Elixir,,,,,2
LS_LY_T_2020_SP_014,LY_T_2020,SP_014,,,,Elixir,,,,,2
LS_LY_T_2020_SP_015,LY_T_2020,SP_015,,,,Elixir,,,,,2
LS_LY_T_2020_SP_016,LY_T_2020,SP_016,,,,Elixir,,,,,2
LS_LY_T_2020_SP_017,LY_T_2020,SP_017,,,,Elixir,,,,,2
LS_LY_T_2020_SP_018,LY_T_2020,SP_018,,,,Elixir,,,,,2
LS_LY_T_2020_SP_019,LY_T_2020,SP_019,,,,Elixir,,,,,2
LS_LY_T_2020_SP_020,LY_T_2020,SP_020,,,,Elixir,,,,,2
LS_LY_T_2020_SP_021,LY_T_2020,SP_021,,,,Elixir,,,,,2
LS_LY_T_2020_SP_022,LY_T_2020,SP_022,,,,Elixir,,,,,2
LS_LY_T_2020_SP_023,LY_T_2020,SP_023,,,,Elixir,,,,,2
LS_LY_T_2020_SP_024,LY_T_2020,SP_024,,,,Elixir,,,,,2
LS_LY_T_2020_SP_025,LY_T_2020,SP_025,,,,Elixir,,,,,2
LS_LY_T_2020_SP_026,LY_T_2020,SP_026,,,,Elixir,,,,,2
LS_LY_T_2020_SP_027,LY_T_2020,SP_027,,,,Elixir,,,,,2
LS_LY_T_2020_SP_028,LY_T_2020,SP_028,,,,Elixir,,,,,2
LS_LY_T_2020_SP_029,LY_T_2020,SP_029,,,,Elixir,,,,,2
LS_LY_T_2020_SP_030,LY_T_2020,SP_030,,,,Elixir,,,,,2
LS_LY_T_2020_SP_031,LY_T_2020,SP_031,,,,Elixir,,,,,2
LS_LY_T_2020_SP_032,LY_T_2020,SP_032,,,,Elixir,,,,,2
LS_LY_T_2020_SP_033,LY_T_2020,SP_033,,,,Elixir,,,,,2
LS_LY_T_2020_SP_034,LY_T_2020,SP_034,,,,Elixir,,,,,2
LS_LY_T_2020_SP_035,LY_T_2020,SP_035,,,,Elixir,,,,,2
LS_LY_T_2020_SP_036,LY_T_2020,SP_036,,,,Elixir,,,,,2
LS_LY_T_2020_SP_037,LY_T_2020,SP_037,,,,Elixir,,,,,2
LS_LY_T_2020_SP_038,LY_T_2020,SP_038,,,,Elixir,,,,,2
LS_LY_T_2020_SP_039,LY_T_2020,SP_039,,,,Elixir,,,,,2
LS_LY_T_2020_SP_040,LY_T_2020,SP_040,,,,Elixir,,,,,2
LS_LY_T_2020_SP_041,LY_T_2020,SP_041,,,,Elixir,,,,,2
LS_LY_T_2020_SP_042,LY_T_2020,SP_042,,,,Elixir,,,,,2
LS_LY_T_2020_SP_043,LY_T_2020,SP_043,,,,Elixir,,,,,2
LS_LY_T_2020_SP_044,LY_T_2020,SP_044,,,,Elixir,,,,,2
LS_LY_T_2020_SP_045,LY_T_2020,SP_045,,,,Elixir,,,,,2
LS_LY_T_2020_SP_046,LY_T_2020,SP_046,,,,Elixir,,,,,2
LS_LY_T_2020_SP_047,LY_T_2020,SP_047,,,,Elixir,,,,,2
LS_LY_T_2020_SP_048,LY_T_2020,SP_048,,,,Elixir,,,,,2
LS_LY_T_2020_SP_049,LY_T_2020,SP_049,,,,Elixir,,,,,2
LS_LY_T_2020_SP_050,LY_T_2020,SP_050,,,,Elixir,,,,,2
LS_LY_T_2021_SP_001,LY_T_2021,SP_001,1.0,1.0,1.0,Heerup,n,HALF,450.0,,2
LS_LY_T_2021_SP_002,LY_T_2021,SP_002,1.0,2.0,1.0,Heerup,n,HALF,300.0,,2
LS_LY_T_2021_SP_003,LY_T_2021,SP_003,1.0,3.0,1.0,Kvium,n,HALF,450.0,,2
LS_LY_T_2021_SP_004,LY_T_2021,SP_004,1.0,4.0,1.0,Sheriff,n,HALF,300.0,,2
LS_LY_T_2021_SP_005,LY_T_2021,SP_005,1.0,5.0,1.0,Rembrandt,n,HALF,150.0,,2
LS_LY_T_2021_SP_006,LY_T_2021,SP_006,1.0,6.0,1.0,Rembrandt,n,HALF,450.0,,2
LS_LY_T_2021_SP_007,LY_T_2021,SP_007,1.0,7.0,1.0,Heerup,n,HALF,150.0,,2
LS_LY_T_2021_SP_008,LY_T_2021,SP_008,1.0,8.0,1.0,Sheriff,n,HALF,450.0,,2
LS_LY_T_2021_SP_009,LY_T_2021,SP_009,1.0,9.0,1.0,Kvium,n,HALF,300.0,,2
LS_LY_T_2021_SP_010,LY_T_2021,SP_010,1.0,10.0,1.0,Sheriff,n,HALF,150.0,,2
LS_LY_T_2021_SP_011,LY_T_2021,SP_011,1.0,11.0,1.0,Rembrandt,n,HALF,300.0,,2
LS_LY_T_2021_SP_012,LY_T_2021,SP_012,1.0,12.0,1.0,Kvium,n,HALF,150.0,,2
LS_LY_T_2021_SP_013,LY_T_2021,SP_013,1.0,13.0,2.0,Kvium,n,NORMAL,150.0,,2
LS_LY_T_2021_SP_014,LY_T_2021,SP_014,1.0,14.0,2.0,Sheriff,n,NORMAL,150.0,,2
LS_LY_T_2021_SP_015,LY_T_2021,SP_015,1.0,15.0,2.0,Sheriff,n,NORMAL,450.0,,2
LS_LY_T_2021_SP_016,LY_T_2021,SP_016,1.0,16.0,2.0,Heerup,n,NORMAL,450.0,,2
LS_LY_T_2021_SP_017,LY_T_2021,SP_017,1.0,17.0,2.0,Rembrandt,n,NORMAL,300.0,,2
LS_LY_T_2021_SP_018,LY_T_2021,SP_018,1.0,18.0,2.0,Heerup,n,NORMAL,300.0,,2
LS_LY_T_2021_SP_019,LY_T_2021,SP_019,1.0,19.0,2.0,Kvium,n,NORMAL,300.0,,2
LS_LY_T_2021_SP_020,LY_T_2021,SP_020,1.0,20.0,2.0,Sheriff,n,NORMAL,300.0,,2
LS_LY_T_2021_SP_021,LY_T_2021,SP_021,1.0,21.0,2.0,Heerup,n,NORMAL,150.0,,2
LS_LY_T_2021_SP_022,LY_T_2021,SP_022,1.0,22.0,2.0,Rembrandt,n,NORMAL,450.0,,2
LS_LY_T_2021_SP_023,LY_T_2021,SP_023,1.0,23.0,2.0,Kvium,n,NORMAL,450.0,,2
LS_LY_T_2021_SP_024,LY_T_2021,SP_024,1.0,24.0,2.0,Rembrandt,n,NORMAL,150.0,,2
LS_LY_T_2021_SP_025,LY_T_2021,SP_025,1.0,25.0,3.0,Kvium,n,HALF,450.0,,2
LS_LY_T_2021_SP_026,LY_T_2021,SP_026,1.0,26.0,3.0,Rembrandt,n,HALF,300.0,,2
LS_LY_T_2021_SP_027,LY_T_2021,SP_027,1.0,27.0,3.0,Kvium,n,HALF,300.0,,2
LS_LY_T_2021_SP_028,LY_T_2021,SP_028,1.0,28.0,3.0,Kvium,n,HALF,150.0,,2
LS_LY_T_2021_SP_029,LY_T_2021,SP_029,1.0,29.0,3.0,Sheriff,n,HALF,450.0,,2
LS_LY_T_2021_SP_030,LY_T_2021,SP_030,1.0,30.0,3.0,Heerup,n,HALF,150.0,,2
LS_LY_T_2021_SP_031,LY_T_2021,SP_031,1.0,31.0,3.0,Sheriff,n,HALF,300.0,,2
LS_LY_T_2021_SP_032,LY_T_2021,SP_032,1.0,32.0,3.0,Rembrandt,n,HALF,450.0,,2
LS_LY_T_2021_SP_033,LY_T_2021,SP_033,1.0,33.0,3.0,Sheriff,n,HALF,150.0,,2
LS_LY_T_2021_SP_034,LY_T_2021,SP_034,1.0,34.0,3.0,Rembrandt,n,HALF,150.0,,2
LS_LY_T_2021_SP_035,LY_T_2021,SP_035,1.0,35.0,3.0,Heerup,n,HALF,450.0,,2
LS_LY_T_2021_SP_036,LY_T_2021,SP_036,1.0,36.0,3.0,Heerup,n,HALF,300.0,,2
