FF_id,FP_id,SA_id,SR_id,FF_read_direction,FF_filename,FF_relative_path,FF_reads
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_11_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_11_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_11__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-11_S11_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-11_S11_L001_R1_001.fastq.gz,31249
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_11_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_11_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_11__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-11_S11_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-11_S11_L001_R2_001.fastq.gz,31249
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_10_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_10_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_10__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-10_S10_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-10_S10_L001_R1_001.fastq.gz,24715
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_10_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_10_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_10__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-10_S10_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-10_S10_L001_R2_001.fastq.gz,24715
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_9_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_9_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_9__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-9_S9_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-9_S9_L001_R1_001.fastq.gz,25620
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_9_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_9_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_9__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-9_S9_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-9_S9_L001_R2_001.fastq.gz,25620
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_8_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_8_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_8__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-8_S8_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-8_S8_L001_R1_001.fastq.gz,33712
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_8_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_8_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_8__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-8_S8_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-8_S8_L001_R2_001.fastq.gz,33712
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_7_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_7_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_7__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-7_S7_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-7_S7_L001_R1_001.fastq.gz,29792
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_7_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_7_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_7__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-7_S7_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-7_S7_L001_R2_001.fastq.gz,29792
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_6_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_6_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_6__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-6_S6_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-6_S6_L001_R1_001.fastq.gz,43616
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_6_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_6_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_6__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-6_S6_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-6_S6_L001_R2_001.fastq.gz,43616
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_5_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_5_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_5__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-5_S5_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-5_S5_L001_R1_001.fastq.gz,409
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_5_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_5_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_5__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-5_S5_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-5_S5_L001_R2_001.fastq.gz,409
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_4_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_4_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_4__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-4_S4_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-4_S4_L001_R1_001.fastq.gz,30067
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_4_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_4_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_4__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-4_S4_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-4_S4_L001_R2_001.fastq.gz,30067
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_3_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_3_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_3__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-3_S3_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-3_S3_L001_R1_001.fastq.gz,38776
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_3_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_3_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_3__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-3_S3_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-3_S3_L001_R2_001.fastq.gz,38776
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_2_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_2_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_2__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-2_S2_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-2_S2_L001_R1_001.fastq.gz,24418
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_2_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_2_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_2__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-2_S2_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-2_S2_L001_R2_001.fastq.gz,24418
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_25_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_25_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_25__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-25_S25_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-25_S25_L001_R1_001.fastq.gz,31171
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_25_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_25_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_25__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-25_S25_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-25_S25_L001_R2_001.fastq.gz,31171
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_26_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_26_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_26__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-26_S26_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-26_S26_L001_R1_001.fastq.gz,26317
