sampling_plot_id,location_year_id,scheme,grid_number,grid_point,distance,edge,block,plot,subplot,plot_label,x,y,spray_fungicide,fertiliser,cultivar,cultivar_alt,density,spray,fertilizer
SP__LY__2021__4.0__124.0__11.0,LY__2021,,,,,,4.0,124.0,11.0,,,,n,Half,Rembrandt,,450.0,,
SP__LY__2021__4.0__123.0__11.0,LY__2021,,,,,,4.0,123.0,11.0,,,,n,Half,Sheriff,,150.0,,
SP__LY__2021__4.0__122.0__11.0,LY__2021,,,,,,4.0,122.0,11.0,,,,n,Half,Rembrandt,,150.0,,
SP__LY__2021__4.0__121.0__11.0,LY__2021,,,,,,4.0,121.0,11.0,,,,n,Half,Kvium,,300.0,,
SP__LY__2021__4.0__120.0__10.0,LY__2021,,,,,,4.0,120.0,10.0,,,,n,Zero,Sheriff,,300.0,,
SP__LY__2021__4.0__119.0__10.0,LY__2021,,,,,,4.0,119.0,10.0,,,,n,Zero,Heerup,,150.0,,
SP__LY__2021__4.0__117.0__10.0,LY__2021,,,,,,4.0,117.0,10.0,,,,n,Zero,Kvium,,300.0,,
SP__LY__2021__4.0__116.0__10.0,LY__2021,,,,,,4.0,116.0,10.0,,,,n,Zero,Sheriff,,450.0,,
SP__LY__2021__4.0__115.0__10.0,LY__2021,,,,,,4.0,115.0,10.0,,,,n,Zero,Rembrandt,,450.0,,
SP__LY__2021__4.0__114.0__10.0,LY__2021,,,,,,4.0,114.0,10.0,,,,n,Zero,Kvium,,150.0,,
SP__LY__2021__4.0__113.0__10.0,LY__2021,,,,,,4.0,113.0,10.0,,,,n,Zero,Kvium,,450.0,,
SP__LY__2021__4.0__130.0__11.0,LY__2021,,,,,,4.0,130.0,11.0,,,,n,Half,Heerup,,150.0,,
SP__LY__2021__1.0__19.0__2.0,LY__2021,,,,,,1.0,19.0,2.0,,,,n,Normal,Kvium,,300.0,,
SP__LY__2021__1.0__20.0__2.0,LY__2021,,,,,,1.0,20.0,2.0,,,,n,Normal,Sheriff,,300.0,,
SP__LY__2021__1.0__21.0__2.0,LY__2021,,,,,,1.0,21.0,2.0,,,,n,Normal,Heerup,,150.0,,
SP__LY__2021__3.0__73.0__7.0,LY__2021,,,,,,3.0,73.0,7.0,,,,n,Half,Rembrandt,,300.0,,
