run_library_assignment_id,sequencing_run_id,library_preparation_id
RLA__seq230710_GW4I8__LP__DX__T-030620-w-41__1.0__6A__2021-01-09__1__6A__102.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-41__1.0__6A__2021-01-09__1__6A__102.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-39__1.0__5G__2021-01-09__1__5G__173.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-39__1.0__5G__2021-01-09__1__5G__173.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-38__1.0__5F__2021-01-09__1__5F__161.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-38__1.0__5F__2021-01-09__1__5F__161.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-37__1.0__5E__2021-01-09__1__5E__149.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-37__1.0__5E__2021-01-09__1__5E__149.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-36__1.0__5D__2021-01-09__1__5D__137.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-36__1.0__5D__2021-01-09__1__5D__137.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-35__1.0__5C__2021-01-09__1__5C__125.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-35__1.0__5C__2021-01-09__1__5C__125.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-34__1.0__5B__2021-01-09__1__5B__113.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-34__1.0__5B__2021-01-09__1__5B__113.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-33__1.0__5A__2021-01-09__1__5A__101.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-33__1.0__5A__2021-01-09__1__5A__101.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-32__1.0__4H__2021-01-09__1__4H__184.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-32__1.0__4H__2021-01-09__1__4H__184.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-31__1.0__4G__2021-01-09__1__4G__172.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-31__1.0__4G__2021-01-09__1__4G__172.0__ITS
