LY,SP,LY_SP,SP_plot,SP_sample_number,SP_id_on_field_2022,SP_cultivar,SP_spray,SP_fertilizer,SP_lane,SP_parcel,SP_location
LY_L_2022,SP_016,LY_L_2022__SP_016,16,16,B7,Heerup,TRUE,,3,77,L
LY_L_2022,SP_017,LY_L_2022__SP_017,17,17,B16,Rembrandt,TRUE,,3,78,L
LY_L_2022,SP_018,LY_L_2022__SP_018,18,18,B5,Kvium,TRUE,,3,96,L
LY_L_2022,SP_019,LY_L_2022__SP_019,19,19,B16,Rembrandt,TRUE,,4,17,L
LY_L_2022,SP_020,LY_L_2022__SP_020,20,20,B5,Kvium,TRUE,,4,29,L
LY_L_2022,SP_021,LY_L_2022__SP_021,21,21,B7,Heerup,TRUE,,4,43,L
LY_L_2022,SP_022,LY_L_2022__SP_022,22,22,A16,Rembrandt,FALSE,,4,62,L
LY_L_2022,SP_023,LY_L_2022__SP_023,23,23,A5,Kvium,FALSE,,4,79,L
LY_L_2022,SP_024,LY_L_2022__SP_024,24,24,A7,Heerup,FALSE,,4,84,L
LY_R_2022,SP_001,LY_R_2022__SP_001,1,1,A16,Rembrandt,FALSE,NORMAL,1,7,R
LY_R_2022,SP_002,LY_R_2022__SP_002,2,2,A7,Heerup,FALSE,NORMAL,1,20,R
LY_R_2022,SP_003,LY_R_2022__SP_003,3,3,B5,Kvium,TRUE,NORMAL,3,7,R
LY_R_2022,SP_004,LY_R_2022__SP_004,4,4,B7,Heerup,TRUE,NORMAL,3,8,R
LY_R_2022,SP_005,LY_R_2022__SP_005,5,5,B16,Rembrandt,TRUE,NORMAL,3,20,R
LY_R_2022,SP_006,LY_R_2022__SP_006,6,6,A5,Kvium,FALSE,NORMAL,4,23,R
LY_R_2022,SP_007,LY_R_2022__SP_007,7,7,B7,Heerup,TRUE,NORMAL,6,24,R
LY_R_2022,SP_008,LY_R_2022__SP_008,8,8,B16,Rembrandt,TRUE,NORMAL,7,12,R
LY_R_2022,SP_009,LY_R_2022__SP_009,9,9,B5,Kvium,TRUE,NORMAL,7,15,R
