sampling_plot_id,location_year_id,scheme_2020,plot,grid_point_2020,distance_2020,edge_2020,block_2022,plot_label,subplot,x,y,letter,spray_fungicide,fertiliser,fertilizer,cultivar,density,spray
SP__LY__R__2022__003,LY__R__2022,,3,,,,3.0,,,,,,y,n,,Kvium,,
SP__LY__R__2022__003,LY__R__2022,,3,,,,,,,,,,,,,Kvium,,no
SP__LY__R__2022__003,LY__R__2022,,3,,,,,,,,,B5,,,,Kvium,,y
SP__LY__R__2022__003,LY__R__2022,,3,,,,,,,,,B5,,,,Kvium,,n
SP__LY__R__2022__003,LY__R__2022,,3,,,,,,,,,,,,,Kvium,,n
SP__LY__R__2022__004,LY__R__2022,,4,,,,3.0,,,,,,y,n,,Heerup,unknown,
SP__LY__R__2022__004,LY__R__2022,,4,,,,3.0,,,,,,y,n,,Heerup,,
SP__LY__R__2022__004,LY__R__2022,,4,,,,,,,,,,,,,Heerup,,no
SP__LY__R__2022__004,LY__R__2022,,4,,,,,,,,,B7,,,,Heerup,,y
SP__LY__R__2022__004,LY__R__2022,,4,,,,,,,,,B7,,,,Heerup,,n
SP__LY__R__2022__004,LY__R__2022,,4,,,,,,,,,,,,,Heerup,,n
SP__LY__R__2022__005,LY__R__2022,,5,,,,3.0,,,,,,y,n,,Rembrandt,unknown,
SP__LY__R__2022__005,LY__R__2022,,5,,,,3.0,,,,,,y,n,,Rembrandt,,
SP__LY__R__2022__005,LY__R__2022,,5,,,,,,,,,,,,,Rembrandt,,no
SP__LY__R__2022__005,LY__R__2022,,5,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__R__2022__005,LY__R__2022,,5,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__R__2022__005,LY__R__2022,,5,,,,,,,,,,,,,Rembrandt,,n
SP__LY__R__2022__006,LY__R__2022,,6,,,,4.0,,,,,,n,n,,Kvium,unknown,
SP__LY__R__2022__006,LY__R__2022,,6,,,,7.0,,,,,,n,n,,Kvium,unknown,
SP__LY__R__2022__006,LY__R__2022,,6,,,,4.0,,,,,,n,n,,Kvium,,
SP__LY__R__2022__006,LY__R__2022,,6,,,,7.0,,,,,,n,n,,Kvium,,
SP__LY__R__2022__006,LY__R__2022,,6,,,,,,,,,,,,,Kvium,,yes
SP__LY__R__2022__006,LY__R__2022,,6,,,,,,,,,A5,,,,Kvium,,n
SP__LY__R__2022__006,LY__R__2022,,6,,,,,,,,,A5,,,,Kvium,,y
SP__LY__R__2022__006,LY__R__2022,,6,,,,,,,,,,,,,Kvium,,y
SP__LY__R__2022__007,LY__R__2022,,7,,,,6.0,,,,,,y,n,,Heerup,unknown,
SP__LY__R__2022__007,LY__R__2022,,7,,,,6.0,,,,,,y,n,,Heerup,,
SP__LY__R__2022__007,LY__R__2022,,7,,,,,,,,,,,,,Heerup,,no
SP__LY__R__2022__007,LY__R__2022,,7,,,,,,,,,B7,,,,Heerup,,y
SP__LY__R__2022__007,LY__R__2022,,7,,,,,,,,,B7,,,,Heerup,,n
SP__LY__R__2022__007,LY__R__2022,,7,,,,,,,,,,,,,Heerup,,n
SP__LY__R__2022__008,LY__R__2022,,8,,,,7.0,,,,,,y,n,,Rembrandt,unknown,
SP__LY__R__2022__008,LY__R__2022,,8,,,,7.0,,,,,,y,n,,Rembrandt,,
SP__LY__R__2022__008,LY__R__2022,,8,,,,,,,,,,,,,Rembrandt,,no
SP__LY__R__2022__008,LY__R__2022,,8,,,,,,,,,B5,,,,Kvium,,y
SP__LY__R__2022__008,LY__R__2022,,8,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__R__2022__008,LY__R__2022,,8,,,,,,,,,,,,,Rembrandt,,n
SP__LY__R__2022__009,LY__R__2022,,9,,,,7.0,,,,,,y,n,,Kvium,unknown,
