LY_SP,LY,SP,SP_sample_number,SP_cultivar,SP_plot,SP_subplot,SP_block,SP_spray_fungicide,SP_density,SP_location,SP_fertilizer,SP_spray,SP_lane,SP_parcel,SP_id_on_field_2022,SP_fertiliser,SP_distance_LY_T_2020,SP_grid_point_LY_T_2020,SP_grid_number_LY_T_2020,SP_scheme_LY_T_2020,SP_sampling_1_LY_T_2020,SP_edge_LY_T_2020,SP_sampling_0_LY_T_2020
LY_T_2023__SP_080,LY_T_2023,SP_080,80,Heerup,80.0,7.0,3.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_081,LY_T_2023,SP_081,81,Kvium,81.0,7.0,3.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_082,LY_T_2023,SP_082,82,Rembrandt,82.0,7.0,3.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_083,LY_T_2023,SP_083,83,Sheriff,83.0,11.0,3.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_084,LY_T_2023,SP_084,84,Kvium,84.0,12.0,3.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_085,LY_T_2023,SP_085,85,Rembrandt,85.0,1.0,3.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_086,LY_T_2023,SP_086,86,Heerup,86.0,2.0,3.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_087,LY_T_2023,SP_087,87,Kvium,87.0,8.0,3.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_088,LY_T_2023,SP_088,88,Rembrandt,88.0,8.0,3.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_089,LY_T_2023,SP_089,89,Sheriff,89.0,8.0,3.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_090,LY_T_2023,SP_090,90,Kvium,90.0,6.0,3.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_091,LY_T_2023,SP_091,91,Heerup,91.0,8.0,3.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_092,LY_T_2023,SP_092,92,Rembrandt,92.0,8.0,3.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_093,LY_T_2023,SP_093,93,Heerup,93.0,9.0,3.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_094,LY_T_2023,SP_094,94,Kvium,94.0,10.0,3.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_095,LY_T_2023,SP_095,95,Sheriff,95.0,11.0,3.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_096,LY_T_2023,SP_096,96,Sheriff,96.0,12.0,3.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_097,LY_T_2023,SP_097,97,Heerup,97.0,1.0,3.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_098,LY_T_2023,SP_098,98,Rembrandt,98.0,9.0,3.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_099,LY_T_2023,SP_099,99,Kvium,99.0,3.0,3.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_100,LY_T_2023,SP_100,100,Heerup,100.0,9.0,3.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_101,LY_T_2023,SP_101,101,Rembrandt,101.0,5.0,3.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_102,LY_T_2023,SP_102,102,Heerup,102.0,6.0,3.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_103,LY_T_2023,SP_103,103,Rembrandt,103.0,7.0,3.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_104,LY_T_2023,SP_104,104,Kvium,104.0,9.0,3.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_105,LY_T_2023,SP_105,105,Sheriff,105.0,9.0,3.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_106,LY_T_2023,SP_106,106,Kvium,106.0,10.0,3.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_107,LY_T_2023,SP_107,107,Sheriff,107.0,9.0,3.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_108,LY_T_2023,SP_108,108,Sheriff,108.0,12.0,3.0,False,450.0,T,,,,,,NORMAL,,,,,,,
