LY,SP,LY_SP,SP_sample_number,SP_block,SP_plot,SP_subplot,SP_spray_fungicide,SP_fertilizer,SP_cultivar,SP_density
LY_T_2021,SP_101,LY_T_2021__SP_101,101,3,101,9,FALSE,NORMAL,Rembrandt,300
LY_T_2021,SP_102,LY_T_2021__SP_102,102,3,102,9,FALSE,NORMAL,Heerup,300
LY_T_2021,SP_103,LY_T_2021__SP_103,103,3,103,9,FALSE,NORMAL,Rembrandt,150
LY_T_2021,SP_104,LY_T_2021__SP_104,104,3,104,9,FALSE,NORMAL,Sheriff,450
LY_T_2021,SP_105,LY_T_2021__SP_105,105,3,105,9,FALSE,NORMAL,Kvium,450
LY_T_2021,SP_106,LY_T_2021__SP_106,106,3,106,9,FALSE,NORMAL,Sheriff,300
LY_T_2021,SP_107,LY_T_2021__SP_107,107,3,107,9,FALSE,NORMAL,Kvium,300
LY_T_2021,SP_108,LY_T_2021__SP_108,108,3,108,9,FALSE,NORMAL,Heerup,150
LY_T_2021,SP_109,LY_T_2021__SP_109,109,4,109,10,FALSE,HALF,Sheriff,150
LY_T_2021,SP_110,LY_T_2021__SP_110,110,4,110,10,FALSE,HALF,Heerup,450
LY_T_2021,SP_111,LY_T_2021__SP_111,111,4,111,10,FALSE,HALF,Heerup,300
LY_T_2021,SP_112,LY_T_2021__SP_112,112,4,112,10,FALSE,HALF,Rembrandt,150
LY_T_2021,SP_113,LY_T_2021__SP_113,113,4,113,10,FALSE,HALF,Kvium,450
LY_T_2021,SP_114,LY_T_2021__SP_114,114,4,114,10,FALSE,HALF,Kvium,150
LY_T_2021,SP_115,LY_T_2021__SP_115,115,4,115,10,FALSE,HALF,Rembrandt,450
LY_T_2021,SP_116,LY_T_2021__SP_116,116,4,116,10,FALSE,HALF,Sheriff,450
LY_T_2021,SP_117,LY_T_2021__SP_117,117,4,117,10,FALSE,HALF,Kvium,300
LY_T_2021,SP_118,LY_T_2021__SP_118,118,4,118,10,FALSE,HALF,Rembrandt,300
LY_T_2021,SP_119,LY_T_2021__SP_119,119,4,119,10,FALSE,HALF,Heerup,150
LY_T_2021,SP_120,LY_T_2021__SP_120,120,4,120,10,FALSE,HALF,Sheriff,300
LY_T_2021,SP_121,LY_T_2021__SP_121,121,4,121,11,FALSE,HALF,Kvium,300
LY_T_2021,SP_122,LY_T_2021__SP_122,122,4,122,11,FALSE,HALF,Rembrandt,150
LY_T_2021,SP_123,LY_T_2021__SP_123,123,4,123,11,FALSE,HALF,Sheriff,150
LY_T_2021,SP_124,LY_T_2021__SP_124,124,4,124,11,FALSE,HALF,Rembrandt,450
LY_T_2021,SP_125,LY_T_2021__SP_125,125,4,125,11,FALSE,HALF,Rembrandt,300
LY_T_2021,SP_126,LY_T_2021__SP_126,126,4,126,11,FALSE,HALF,Heerup,450
LY_T_2021,SP_127,LY_T_2021__SP_127,127,4,127,11,FALSE,HALF,Kvium,150
LY_T_2021,SP_128,LY_T_2021__SP_128,128,4,128,11,FALSE,HALF,Kvium,450
LY_T_2021,SP_129,LY_T_2021__SP_129,129,4,129,11,FALSE,HALF,Heerup,300
LY_T_2021,SP_130,LY_T_2021__SP_130,130,4,130,11,FALSE,HALF,Heerup,150
LY_T_2021,SP_131,LY_T_2021__SP_131,131,4,131,11,FALSE,HALF,Sheriff,450
LY_T_2021,SP_132,LY_T_2021__SP_132,132,4,132,11,FALSE,HALF,Sheriff,300
LY_T_2021,SP_133,LY_T_2021__SP_133,133,4,133,12,FALSE,NORMAL,Rembrandt,300
LY_T_2021,SP_134,LY_T_2021__SP_134,134,4,134,12,FALSE,NORMAL,Sheriff,450
LY_T_2021,SP_135,LY_T_2021__SP_135,135,4,135,12,FALSE,NORMAL,Heerup,450
LY_T_2021,SP_136,LY_T_2021__SP_136,136,4,136,12,FALSE,NORMAL,Kvium,150
LY_T_2021,SP_137,LY_T_2021__SP_137,137,4,137,12,FALSE,NORMAL,Heerup,150
LY_T_2021,SP_138,LY_T_2021__SP_138,138,4,138,12,FALSE,NORMAL,Heerup,300
LY_T_2021,SP_139,LY_T_2021__SP_139,139,4,139,12,FALSE,NORMAL,Kvium,300
LY_T_2021,SP_140,LY_T_2021__SP_140,140,4,140,12,FALSE,NORMAL,Sheriff,300
LY_T_2021,SP_141,LY_T_2021__SP_141,141,4,141,12,FALSE,NORMAL,Rembrandt,450
LY_T_2021,SP_142,LY_T_2021__SP_142,142,4,142,12,FALSE,NORMAL,Rembrandt,150
LY_T_2021,SP_143,LY_T_2021__SP_143,143,4,143,12,FALSE,NORMAL,Sheriff,150
LY_T_2021,SP_144,LY_T_2021__SP_144,144,4,144,12,FALSE,NORMAL,Kvium,450
