run_ID,seq_sample_ID,forward_fq,reverse_fq
seq260612_DR8PG,T-300523-ITS-c-72A-1,DR8PG2-T-300523-ITS-c-72A-1_S32_L001_R1_001.fastq.gz,DR8PG2-T-300523-ITS-c-72A-1_S32_L001_R2_001.fastq.gz
seq260612_DR8PG,T-300523-ITS-c-87A-1,DR8PG2-T-300523-ITS-c-87A-1_S33_L001_R1_001.fastq.gz,DR8PG2-T-300523-ITS-c-87A-1_S33_L001_R2_001.fastq.gz
seq260612_DR8PG,T-300523-ITS-c-88A-1,DR8PG2-T-300523-ITS-c-88A-1_S34_L001_R1_001.fastq.gz,DR8PG2-T-300523-ITS-c-88A-1_S34_L001_R2_001.fastq.gz
seq260612_DR8PG,T-300523-ITS-c-89A-1,DR8PG2-T-300523-ITS-c-89A-1_S35_L001_R1_001.fastq.gz,DR8PG2-T-300523-ITS-c-89A-1_S35_L001_R2_001.fastq.gz
seq260612_DR8PG,T-300523-ITS-c-91A-1,DR8PG2-T-300523-ITS-c-91A-1_S36_L001_R1_001.fastq.gz,DR8PG2-T-300523-ITS-c-91A-1_S36_L001_R2_001.fastq.gz
seq260612_DR8PG,T-300523-ITS-c-98A-1,DR8PG2-T-300523-ITS-c-98A-1_S37_L001_R1_001.fastq.gz,DR8PG2-T-300523-ITS-c-98A-1_S37_L001_R2_001.fastq.gz
seq260612_DR8PG,T-300523-ITS-c-9A-1,DR8PG2-T-300523-ITS-c-9A-1_S19_L001_R1_001.fastq.gz,DR8PG2-T-300523-ITS-c-9A-1_S19_L001_R2_001.fastq.gz
seq260520_BRLUV,A-2023-16S-w-P8-neg,BRLUV2-A-2023-16S-w-P8-neg_S332_L001_R1_001.fastq.gz,BRLUV2-A-2023-16S-w-P8-neg_S332_L001_R2_001.fastq.gz
seq260520_BRLUV,A-2023-16S-w-P8-pos,BRLUV2-A-2023-16S-w-P8-pos_S333_L001_R1_001.fastq.gz,BRLUV2-A-2023-16S-w-P8-pos_S333_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-51-3,BRLUV2-A-230622-16S-c-51-3_S348_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-51-3_S348_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-51-4,BRLUV2-A-230622-16S-c-51-4_S352_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-51-4_S352_L001_R2_001.fastq.gz
